		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000010111   20   24   32   26   27   15   17   27 10.017926 0.263770 SUCCESS  11
000011001   18   26   26   32   22   35   22   22  9.892812 0.272630 SUCCESS  12
000011011   22   26   17   27   23   20   24   21  4.356675 0.823595 SUCCESS  13
000011101   27   24   30   25   21   18   20   21  5.170910 0.739163 SUCCESS  14
000011111   23   26   29   26   24   23   38   23  9.207663 0.325082 SUCCESS  15
000100011   33   21   22   11   23   19   25   22 13.049794 0.110148 SUCCESS  16
000100101   20   27   23   29   18   20   31   34 10.392607 0.238544 SUCCESS  17
000100111   27   27   25   25   27   24   15   30  5.969258 0.650676 SUCCESS  18
000101001   33   31   21   19   30   20   27   20  9.960334 0.267821 SUCCESS  19
000101011   26   26   24   18   27   23   16   21  5.805749 0.668980 SUCCESS  20
000101101   16   18   25   26   23   37   27   25 11.959513 0.153019 SUCCESS  21
000101111   20   20   30   32   28   13   23   29 12.450702 0.132199 SUCCESS  22
